color,spine,width,satellite,weight
2,3,28.3,8,3050
3,3,22.5,0,1550
1,1,26.0,9,2300
3,3,24.8,0,2100
3,3,26.0,4,2600
2,3,23.8,0,2100
1,1,26.5,0,2350
3,2,24.7,0,1900
2,1,23.7,0,1950
3,3,25.6,0,2150
3,3,24.3,0,2150
2,3,25.8,0,2650
2,3,28.2,11,3050
4,2,21.0,0,1850
2,1,26.0,14,2300
1,1,27.1,8,2950
2,3,25.2,1,2000
2,3,29.0,1,3000
4,3,24.7,0,2200
2,3,27.4,5,2700
2,2,23.2,4,1950
1,2,25.0,3,2300
2,1,22.5,1,1600
3,3,26.7,2,2600
4,3,25.8,3,2000
4,3,26.2,0,1300
2,3,28.7,3,3150
2,1,26.8,5,2700
4,3,27.5,0,2600
2,3,24.9,0,2100
1,1,29.3,4,3200
1,3,25.8,0,2600
2,2,25.7,0,2000
2,1,25.7,8,2000
2,1,26.7,5,2700
4,3,23.7,0,1850
2,3,26.8,0,2650
2,3,27.5,6,3150
4,3,23.4,0,1900
2,3,27.9,6,2800
3,3,27.5,3,3100
1,1,26.1,5,2800
1,1,27.7,6,2500
2,1,30.0,5,3300
3,1,28.5,9,3250
3,3,28.9,4,2800
2,3,28.2,6,2600
2,3,25.0,4,2100
2,3,28.5,3,3000
2,1,30.3,3,3600
4,3,24.7,5,2100
2,3,27.7,5,2900
1,1,27.4,6,2700
2,3,22.9,4,1600
2,1,25.7,5,2000
2,3,28.3,15,3000
2,3,27.2,3,2700
3,3,26.2,3,2300
2,1,27.8,0,2750
4,3,25.5,0,2250
3,3,27.1,0,2550
3,3,24.5,5,2050
3,1,27.0,3,2450
2,3,26.0,5,2150
2,3,28.0,1,2800
2,3,30.0,8,3050
2,3,29.0,10,3200
2,3,26.2,0,2400
2,1,26.5,0,1300
2,3,26.2,3,2400
3,3,25.6,7,2800
3,3,23.0,1,1650
3,3,23.0,0,1800
2,3,25.4,6,2250
3,3,24.2,0,1900
2,2,22.9,0,1600
3,2,26.0,3,2200
2,3,25.4,4,2250
3,3,25.7,0,1200
2,3,25.1,5,2100
3,2,24.5,0,2250
4,3,27.5,0,2900
3,3,23.1,0,1650
3,1,25.9,4,2550
2,3,25.8,0,2300
4,3,27.0,3,2250
2,3,28.5,0,3050
4,1,25.5,0,2750
4,3,23.5,0,1900
2,2,24.0,0,1700
2,1,29.7,5,3850
2,1,26.8,0,2550
4,3,26.7,0,2450
2,1,28.7,0,3200
3,3,23.1,0,1550
2,1,29.0,1,2800
3,3,25.5,0,2250
3,3,26.5,1,1967
3,3,24.5,1,2200
3,3,28.5,1,3000
2,3,28.2,1,2867
2,3,24.5,1,1600
2,3,27.5,1,2550
2,2,24.7,4,2550
2,1,25.2,1,2000
3,3,27.3,1,2900
2,3,26.3,1,2400
2,3,29.0,1,3100
2,3,25.3,2,1900
2,3,26.5,4,2300
2,3,27.8,3,3250
2,3,27.0,6,2500
3,3,25.7,0,2100
2,3,25.0,2,2100
2,3,31.9,2,3325
4,3,23.7,0,1800
4,3,29.3,12,3225
3,3,22.0,0,1400
2,3,25.0,5,2400
3,3,27.0,6,2500
3,3,23.8,6,1800
1,1,30.2,2,3275
3,3,26.2,0,2225
2,3,24.2,2,1650
2,3,27.4,3,2900
2,2,25.4,0,2300
3,3,28.4,3,3200
4,3,22.5,4,1475
2,3,26.2,2,2025
2,1,24.9,6,2300
1,2,24.5,6,1950
2,3,25.1,0,1800
2,1,28.0,4,2900
4,3,25.8,10,2250
2,3,27.9,7,3050
2,3,24.9,0,2200
2,1,28.4,5,3100
3,3,27.2,5,2400
2,2,25.0,6,2250
2,3,27.5,6,2625
2,1,33.5,7,5200
2,3,30.5,3,3325
3,3,29.0,3,2925
2,1,24.3,0,2000
2,3,25.8,0,2400
4,3,25.0,8,2100
2,1,31.7,4,3725
2,3,29.5,4,3025
3,3,24.0,10,1900
2,3,30.0,9,3000
2,3,27.6,4,2850
2,3,26.2,0,2300
2,1,23.1,0,2000
2,1,22.9,0,1600
4,3,24.5,0,1900
2,3,24.7,4,1950
2,3,28.3,0,3200
2,3,23.9,2,1850
3,3,23.8,0,1800
3,2,29.8,4,3500
2,3,26.5,4,2350
2,3,26.0,3,2275
2,3,28.2,8,3050
4,3,25.7,0,2150
2,3,26.5,7,2750
2,3,25.8,0,2200
3,3,24.1,0,1800
3,3,26.2,2,2175
3,3,26.1,3,2750
3,3,29.0,4,3275
1,1,28.0,0,2625
4,3,27.0,0,2625
2,2,24.5,0,2000
